id;patronymic;date_of_birth;user_id
1;квантифицировать networks;2023-04-07T20:34:07;60113
2;сокет innovative;2023-04-07T21:31:10;45464
3;deposit;2023-04-08T07:02:47;36120
4;Куртка;2023-04-08T01:02:39;9385
5;серебряный Маленький Ставропольский;2023-04-08T12:29:15;48050
6;поглотитель Account Бакалея;2023-04-08T02:58:08;47489
7;сине-фиолетовый Автомобиль;2023-04-08T02:03:00;82484
8;synergy Австрия;2023-04-08T01:42:13;80529
9;Марий infrastructures value-added;2023-04-08T09:51:26;35290
10;логистический payment frictionless;2023-04-07T16:15:49;76252
